AREA,TAMBON_IDN,TAM_CODE,TAM_NAM_T,AMPHOE_IDN,AMP_CODE,AMPHOE_T,AMPHOE_E,PROV_CODE,PROV_NAM_T,PROV_NAM_E,t_id
14036654.8440000005066394805908203125000,720701,01,ต.สองพี่น้อง,7207,07,อ.สองพี่น้อง,Amphoe Song Phi Nong,72,จ.สุพรรณบุรี,Changwat Suphan Buri,2872
29111629.3709999993443489074707031250000,720405,05,ต.กฤษณา,7204,04,อ.บางปลาม้า,Amphoe Bang Pa Ma,72,จ.สุพรรณบุรี,Changwat Suphan Buri,2797
26837284.5590000003576278686523437500000,720110,10,ต.ดอนกำยาน,7201,01,อ.เมืองสุพรรณบุรี,Amphoe Muang Saphan Buri,72,จ.สุพรรณบุรี,Changwat Suphan Buri,2602
43040809.7620000019669532775878906250000,720706,06,ต.หัวโพธิ์,7207,07,อ.สองพี่น้อง,Amphoe Song Phi Nong,72,จ.สุพรรณบุรี,Changwat Suphan Buri,2785
19135162.6909999996423721313476562500000,720102,02,ต.รั้วใหญ่,7201,01,อ.เมืองสุพรรณบุรี,Amphoe Muang Saphan Buri,72,จ.สุพรรณบุรี,Changwat Suphan Buri,2608
30012164.1330000013113021850585937500000,720402,02,ต.บางปลาม้า,7204,04,อ.บางปลาม้า,Amphoe Bang Pa Ma,72,จ.สุพรรณบุรี,Changwat Suphan Buri,2690
35744134.2540000006556510925292968750000,720702,02,ต.บางเลน,7207,07,อ.สองพี่น้อง,Amphoe Song Phi Nong,72,จ.สุพรรณบุรี,Changwat Suphan Buri,2901
23537880.5269999988377094268798828125000,720911,11,ต.เจดีย์,7209,09,อ.อู่ทอง,Amphoe U Thong,72,จ.สุพรรณบุรี,Changwat Suphan Buri,2691
50278638.9259999990463256835937500000000,720711,11,ต.ศรีสำราญ,7207,07,อ.สองพี่น้อง,Amphoe Song Phi Nong,72,จ.สุพรรณบุรี,Changwat Suphan Buri,2850
15448180.8359999991953372955322265625000,720115,15,ต.บางกุ้ง,7201,01,อ.เมืองสุพรรณบุรี,Amphoe Muang Saphan Buri,72,จ.สุพรรณบุรี,Changwat Suphan Buri,2623
29386748.5229999981820583343505859375000,720116,16,ต.ศาลาขาว,7201,01,อ.เมืองสุพรรณบุรี,Amphoe Muang Saphan Buri,72,จ.สุพรรณบุรี,Changwat Suphan Buri,2618
11590224.0000000000000000000000000000000,720410,10,ต.บ้านแหลม,7204,04,อ.บางปลาม้า,Amphoe Bang Pa Ma,72,จ.สุพรรณบุรี,Changwat Suphan Buri,2727
35288044.6410000026226043701171875000000,720403,03,ต.ตะค่า,7204,04,อ.บางปลาม้า,Amphoe Bang Pa Ma,72,จ.สุพรรณบุรี,Changwat Suphan Buri,2729
